waktu,nilai
2026-04-30 19:15,1.8
2026-04-30 20:00,1.8
2026-04-30 20:45,1.8
2026-04-30 21:30,1.8
2026-05-01 00:00,1.8
2026-05-01 01:15,1.8
2026-05-01 01:30,1.8
2026-05-01 01:45,1.8
2026-05-01 02:00,1.8
2026-05-01 02:15,1.8
2026-05-01 02:30,1.8
2026-05-01 02:45,1.8
2026-05-01 03:00,1.8
2026-05-01 03:15,1.8
2026-05-01 03:30,1.8
2026-05-01 03:45,1.8
2026-05-01 04:00,1.8
2026-05-01 04:15,1.8
2026-05-01 04:30,1.8
2026-05-01 04:45,1.8
2026-05-01 05:00,1.8
2026-05-01 05:15,1.8
2026-05-01 05:30,1.8
2026-05-01 05:45,1.8
2026-05-01 06:00,1.8
2026-05-01 06:15,1.8
2026-05-01 06:30,1.8
2026-05-01 06:45,1.8
2026-05-01 07:00,1.8
2026-05-01 07:15,1.8
2026-05-01 07:30,1.8
2026-05-01 07:45,1.8
2026-05-01 08:00,1.8
2026-05-01 08:15,1.8
2026-05-01 08:30,1.8
2026-05-01 08:45,1.5
2026-05-01 09:00,1.5
2026-05-01 09:15,1.5
2026-05-01 09:30,1.5
2026-05-01 09:45,1.5
2026-05-01 10:00,1.5
2026-05-01 10:15,1.5
2026-05-01 10:45,1.6
2026-05-01 11:00,1.6
2026-05-01 11:15,1.6
2026-05-01 11:30,1.6
2026-05-01 12:15,1.6
2026-05-01 12:30,1.7
2026-05-01 13:00,1.7
2026-05-01 13:15,1.7
